UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,BOOK,2016,7,2,Dorko the magnificent / Andrea Beaty.,NA,"Beaty, Andrea","Magicians Juvenile fiction, Magic tricks Juvenile fiction, Grandmothers Juvenile fiction, Families Juvenile fiction, Humorous fiction, Family life Fiction, Humorous stories","Amulet Books,",2013.
Physical,Horizon,BOOK,2016,7,5,Artist Ted / by Andrea Beaty and Pascal Lemaitre [illustrator].,NA,"Beaty, Andrea","Artists Juvenile fiction, Schools Fiction, Imagination Fiction, Humorous stories","Margaret K. McElderry Books,",2012.
Digital,OverDrive,EBOOK,2016,7,2,"Rosie Revere, Engineer",NA,Andrea Beaty,"Juvenile Fiction, Picture Book Fiction",ABRAMS,2014
Digital,OverDrive,EBOOK,2016,7,1,Dorko the Magnificent,NA,Andrea Beaty,"Juvenile Fiction, Literature",ABRAMS,2014
Physical,Horizon,BOOK,2016,7,3,Fluffy bunnies 2 : the Schnoz of Doom / written by Andrea Beaty ; illustrated by Dan Santat.,NA,"Beaty, Andrea","Extraterrestrial beings Juvenile fiction, Smell Juvenile fiction, Twins Juvenile fiction, Brothers and sisters Juvenile fiction, Extraterrestrial beings Fiction, Smell Fiction, Twins Fiction, Brothers and sisters Fiction, Humorous stories, Humorous fiction","Amulet Books,",[2015]
Physical,Horizon,BOOK,2016,7,22,"Iggy Peck, architect / by Andrea Beaty ; illustrated by David Roberts.",NA,"Beaty, Andrea","Building Juvenile fiction, Schools Juvenile fiction, School field trips Juvenile fiction, Stories in rhyme","Abrams Books for Young Readers,",2007.
Physical,Horizon,BOOK,2016,7,5,Hide and sheep / by Andrea Beaty ; illustrated by Bill Mayer.,NA,"Beaty, Andrea","Sheep Fiction, Counting Fiction, Stories in rhyme Juvenile fiction","Margaret K. McElderry Books,",2011.
Physical,Horizon,BOOK,2016,7,1,"Hush, Baby Ghostling / by Andrea Beaty ; and [illustrated by] Pascal Lemaitre.",NA,"Beaty, Andrea","Bedtime Juvenile fiction, Ghosts Fiction, Mother and child Juvenile fiction, Monsters Juvenile fiction","Margaret K. McElderry Books,",c2009.
Physical,Horizon,BOOK,2016,7,10,Firefighter Ted / by Andrea Beaty ; and Pascal Lemaitre.,NA,"Beaty, Andrea","Fire fighters Juvenile fiction, Schools Fiction, Imagination Fiction, Humorous stories","Margaret K. McElderry Books,",2009.
Physical,Horizon,BOOK,2016,8,5,Hide and sheep / by Andrea Beaty ; illustrated by Bill Mayer.,NA,"Beaty, Andrea","Sheep Fiction, Counting Fiction, Stories in rhyme Juvenile fiction","Margaret K. McElderry Books,",2011.
Physical,Horizon,BOOK,2016,8,23,"Iggy Peck, architect / by Andrea Beaty ; illustrated by David Roberts.",NA,"Beaty, Andrea","Building Juvenile fiction, Schools Juvenile fiction, School field trips Juvenile fiction, Stories in rhyme","Abrams Books for Young Readers,",2007.
Physical,Horizon,BOOK,2016,8,7,Doctor Ted / by Andrea Beaty and [illustrator] Pascal Lemaître.,NA,"Beaty, Andrea","Physicians Juvenile fiction, Medical fiction, Imagination Fiction","Margaret K. McElderry Books,",2008.
Physical,Horizon,BOOK,2016,8,1,Cicada summer / Andrea Beaty.,NA,"Beaty, Andrea","Brothers and sisters Fiction, Emotional problems Fiction, Death Juvenile fiction, Grief Juvenile fiction, Secrets Juvenile fiction, Illinois Juvenile fiction","Amulet Books,",2008.
