latitude,longitude,battle_link,location_link
43°27′52″N,73°32′19″W,/wiki/Battle_of_Fort_Ann,"/wiki/Fort_Ann_(town),_New_York"
43°12′38″N,75°27′19″W,/wiki/Siege_of_Fort_Stanwix,/wiki/Fort_Stanwix
43°9.4′N,75°19.9′W,/wiki/Battle_of_Oriskany,"/wiki/Oriskany,_New_York"
44°41′N,67°28′W,/wiki/Battle_of_Machias_(1777),"/wiki/Machias,_Maine"
42°55′27″N,73°19′25″W,/wiki/Battle_of_Bennington,"/wiki/Walloomsac,_New_York"
40°34′19″N,74°8′49″W,/wiki/Battle_of_Staten_Island,/wiki/Staten_Island
40°56′47″N,73°6′41″W,/wiki/Battle_of_Setauket,"/wiki/Setauket,_New_York"
40°03′50″N,80°43′30″W,/wiki/Siege_of_Fort_Henry_(1777),/wiki/Fort_Henry_(West_Virginia)
39°41′01″N,75°44′59″W,/wiki/Battle_of_Cooch%27s_Bridge,"/wiki/Newark,_Delaware"
39°52′29″N,75°33′15″W,/wiki/Battle_of_Brandywine,"/wiki/Chadds_Ford_Township,_Delaware_County,_Pennsylvania"
40°02′20″N,75°33′18″W,/wiki/Battle_of_the_Clouds,"/wiki/East_Whiteland_Township,_Chester_County,_Pennsylvania"
42°58′N,73°41′W,/wiki/Battles_of_Saratoga,"/wiki/Stillwater,_New_York"
39°59′00″N,75°28′59″W,/wiki/Battle_of_Paoli,"/wiki/Willistown_Township,_Chester_County,_Pennsylvania"
39°52′31″N,75°12′47″W,/wiki/Siege_of_Fort_Mifflin,/wiki/Fort_Mifflin
40°02′35″N,75°10′52″W,/wiki/Battle_of_Germantown,"/wiki/Germantown,_Philadelphia"
41°21′36″N,074°00′30″W,/wiki/Battle_of_Forts_Clinton_and_Montgomery,"/wiki/Highlands,_New_York"
42°58′N,73°41′W,/wiki/Battles_of_Saratoga,"/wiki/Stillwater,_New_York"
39°52′09″N,75°11′15″W,/wiki/Battle_of_Red_Bank,/wiki/Fort_Mercer
39°53′30″N,75°07′00″W,/wiki/Battle_of_Gloucester_(1777),"/wiki/Gloucester_City,_New_Jersey"
40°06′00″N,75°14′58″W,/wiki/Battle_of_White_Marsh,"/wiki/Whitemarsh_Township,_Pennsylvania"
40°04′38″N,75°18′7″W,/wiki/Battle_of_Matson%27s_Ford,"/wiki/Conshohocken,_Pennsylvania"
13°10′12″N,59°33′09″W,/wiki/Battle_of_Barbados,/wiki/Barbados
39°31′46″N,75°23′32″W,/wiki/Battle_of_Quinton%27s_Bridge,"/wiki/Quinton_Township,_New_Jersey"
55°03′27″N,5°37′19″W,/wiki/North_Channel_Naval_Duel,/wiki/North_Channel_(Great_Britain_and_Ireland)
40°10′27″N,75°06′25″W,/wiki/Battle_of_Crooked_Billet,"/wiki/Hatboro,_Pennsylvania"
40°04′50″N,75°15′19″W,/wiki/Battle_of_Barren_Hill,"/wiki/Lafayette_Hill,_Pennsylvania"
41°40′13″N,71°16′36″W,/wiki/Mount_Hope_Bay_raids,"/wiki/Bristol,_Rhode_Island"
42°40′45″N,74°29′8″W,/wiki/Battle_of_Cobleskill,"/wiki/Cobleskill_(village),_New_York"
40°16′56″N,74°20′48″W,/wiki/Battle_of_Monmouth,/wiki/Manalapan_Township
30°33′39″N,81°49′51″W,/wiki/Battle_of_Alligator_Bridge,"/wiki/Callahan,_Florida"
41°15′04″N,75°54′22″W,/wiki/Battle_of_Wyoming,/wiki/Wyoming_Valley
48°27′40″N,5°05′00″W,/wiki/Battle_of_Ushant_(1778),/wiki/Ushant
41°33′20″N,71°15′53″W,/wiki/Battle_of_Rhode_Island,/wiki/Aquidneck_Island
41°38′10″N,70°56′05″W,/wiki/Grey%27s_raid,"/wiki/New_Bedford,_Massachusetts"
15°25′N,61°20′W,/wiki/Invasion_of_Dominica_(1778),/wiki/Dominica
37°54′30″N,84°16′19″W,/wiki/Siege_of_Boonesborough,"/wiki/Boonesborough,_Kentucky"
43°1′34″N,74°59′25″W,/wiki/Attack_on_German_Flatts_(1778),"/wiki/Herkimer,_New_York"
41°00′51″N,74°00′24″W,/wiki/Baylor_Massacre,"/wiki/River_Vale,_New_Jersey"
40°59′28″N,73°52′27″W,/wiki/Battle_of_Edgar%27s_Lane,"/wiki/Hastings-on-Hudson,_New_York"
,,/wiki/Raid_on_Unadilla_and_Onaquaga,
39°32′05″N,74°28′34″W,/wiki/Battle_of_Chestnut_Neck,"/wiki/Port_Republic,_New_Jersey"
