  101 ! (c) 2022 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2022 06 07 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 ACME   110     0     60   29.9    4.4    4.3   111    9.0    0.8    6.4    0.00   959.37   267   29.6    3.6   25.4   29.4   27.4   22.5   20.6    1.55    1.48    1.40
 ADAX     1     0     69   29.3    1.7    1.6    98   24.9    0.6    3.4    0.00   971.26   251   29.0    0.6   24.6   28.7   25.6   24.3   -998    1.46    1.52    -998
 ALTU     2     0     52   31.7    5.5    5.4    89    7.6    1.0    7.8    0.00   956.12   287   31.3    3.5   26.5   32.1   27.6   24.0   -998    1.72    1.50    -998
 ALV2   116     0     57   30.1    2.5    2.4   108   10.3    0.5    3.6   55.63   954.01   266   30.1    1.7   23.3   30.3   26.2   21.1   -998    1.49    1.40    -998
 ANT2   135     0     75   29.1    1.1    1.1    44   21.1    0.3    2.0    0.00   985.35   121   28.9    0.5   25.9   29.0   26.3   22.8   21.4    1.51    1.39    1.41
 APAC   111     0     58   29.9    5.1    5.1   107    8.5    0.7    6.6    0.00   954.47   224   29.7    3.6   26.2   29.1   26.6   24.3   20.5    1.59    1.47    1.40
 ARD2   126     0     61   31.2    3.3    3.2   109    9.1    0.6    4.3    0.00   973.63   231   30.8    2.2   26.8   33.0   26.4   23.5   22.0    1.63    1.44    1.31
 ARNE     6     0     49   30.4    4.5    4.4   111   11.1    0.9    6.4    0.00   924.08   249   30.0    2.8   31.2   33.5   31.7   25.5   21.4    1.98    2.25    3.34
 BEAV     8     0     42   30.5    6.1    6.0   127    8.7    0.9    7.9    0.00   919.35    81   30.4    4.3   31.1   32.1   32.1   25.2   20.9    3.56    3.19    3.21
 BESS     9     0     53   -999    5.3    5.2   115    8.6    0.6    7.0    0.00   946.36   273   30.9    3.9   28.3   28.0   28.8   23.7   -998    1.37    1.35    -998
 BIXB    10     0     70   29.3    2.6    2.6   168    8.6    0.4    3.5   57.91   983.78   253   29.1    2.1   21.1   29.5   23.3   19.8   19.4    1.49    -999    1.49
 BLAC    11     0     58   29.9    3.1    3.0   160    8.6    0.5    4.0   30.48   969.74   263   30.1    2.1   21.7   30.1   23.1   20.1   18.3    1.61    1.47    1.50
