  101 ! (c) 2022 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2022 06 07 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 BOIS    12     0     29   30.0    6.7    6.6   122    7.8    1.1    9.2    0.00   866.56    67   29.9    5.3   24.5   26.0   25.8   21.4   18.3    3.69    3.67    3.85
 BREC    14     0     54   30.8    2.4    2.3   121   17.8    0.8    4.1   11.18   964.21   264   30.8    2.0   25.7   30.1   25.6   21.8   19.5    1.48    1.91    3.63
 BRIS    15     0     67   29.0    1.4    1.3   160   15.0    0.4    2.3   37.08   977.38   234   28.9    1.0   23.7   29.5   24.9   22.5   20.9    1.47    1.42    1.41
 BROK   124     0     78   28.1    1.0    0.9    68   23.5    0.4    1.9    0.76   992.43    71   28.0    0.3   23.3   27.0   24.3   -998   -998    1.85    -998    -998
 BUFF    16     0     50   30.5    4.3    4.2   138   10.5    0.8    6.3    0.00   940.87   131   30.4    3.1   28.2   32.8   30.9   24.4   21.5    1.77    1.78    1.88
 BURB    17     0     64   29.3    1.6    1.6   156   15.7    0.3    2.1   18.54   970.31   267   29.2    0.7   23.6   29.3   25.2   -998   -998    1.45    -998    -998
 BURN    18     0     61   31.0    3.0    2.9   104   10.6    0.6    4.4    0.00   977.65   239   31.5    2.0   26.4   35.0   28.4   24.1   22.5    1.65    1.62    1.64
 BUTL    19     0     54   31.2    5.0    4.9    94   11.4    0.8    6.8    0.00   945.36   289   31.2    3.5   25.4   -996   25.4   22.2   19.0    1.81    1.68    1.48
 BYAR    20     0     65   29.5    2.9    2.8   110   15.5    0.6    4.4    0.00   965.59   245   29.1    2.0   26.9   27.7   27.6   24.0   21.8    1.50    1.38    1.54
 CAMA    22     0     51   31.1    4.5    4.4   108    9.4    0.6    6.4    0.00   938.07   315   30.8    3.6   27.2   35.7   28.8   24.5   -998    1.89    1.96    -998
 CARL   131     0     64   29.7    1.1    1.1   101   15.5    0.3    1.9   18.80   970.78   252   29.6    0.8   24.2   28.6   25.2   22.0   20.1    1.42    1.39    1.44
 CENT    23     0     65   30.1    1.2    1.1   118   21.8    0.5    2.3    0.00   980.91   234   30.1    0.7   23.3   28.8   24.8   21.2   20.3    1.49    1.38    1.44
 CHAN    24     0     68   29.1    3.6    3.5   122   10.1    0.6    4.7   21.59   971.58   289   28.7    2.8   23.3   29.1   23.7   21.4   -998    1.48    1.39    -998
 CHER    25     0     50   30.8    1.7    1.6   100   19.6    0.6    3.8    4.57   962.90   223   30.7    1.7   26.8   32.9   27.0   23.6   21.0    2.07    1.98    1.97
 CHEY    26     0     54   30.1    4.9    4.9    96    8.2    0.7    6.3    0.00   926.87   254   30.0    3.5   26.6   33.9   30.4   23.3   20.9    1.86    1.53    2.95
 CHIC    27     0     56   30.9    3.8    3.8   132    7.7    0.6    4.9    0.00   966.86   155   30.3    2.6   25.3   30.2   25.7   -998   -998    1.36    -998    -998
 CLAY    29     0     70   29.0    1.1    1.0   120   14.3    0.3    1.8    0.00   984.11   171   29.0    0.6   24.6   29.8   25.0   -998   -998    2.02    -998    -998
 CLOU    30     0     80   28.0    1.8    1.7    68   13.3    0.7    3.3    0.00   980.27   151   27.9    1.5   24.8   27.4   26.4   22.9   -998    1.46    1.53    -998
 COOK    31     0     69   27.7    1.0    0.9   206   31.0    0.4    2.0   37.85   971.41   229   27.6    0.6   21.1   27.8   22.3   -998   -998    1.60    -998    -998
 COPA    32     0     67   28.7    3.0    3.0   164    8.9    0.5    4.2   30.73   976.13   241   28.6    2.3   22.2   29.6   23.1   20.3   18.7    -999    -999    -999
 DURA    33     0     67   30.7    1.7    1.6   109   15.5    0.6    2.8    0.00   981.68   158   30.7    1.1   25.8   28.6   26.9   23.9   22.2    1.46    1.51    1.53
 ELKC   139     0     53   31.1    5.9    5.8   116   12.8    0.8    7.5    0.00   938.27   297   30.4    3.7   22.6   33.9   22.9   21.1   19.0    1.80    1.59    1.70
 ELRE    34     0     59   30.1    4.3    4.3   123    8.2    0.6    5.8    0.00   956.93   261   30.3    2.9   23.2   30.4   22.7   20.0   18.2    1.55    1.42    1.41
 ERIC    35     0     55   30.2    5.8    5.7   107    8.5    0.9    7.3    0.00   936.40   275   30.4    3.8   26.5   34.2   28.2   -999   21.6    1.58    -996    3.46
 EUFA    36     0     70   28.4    2.7    2.6   177   10.0    0.4    3.5   34.29   982.41   227   28.8    1.7   26.1   29.1   26.3   23.6   21.7    1.42    1.44    1.37
 EVAX   141     0     38   29.1    2.1    2.0   280   20.2    0.3    2.8    0.00   887.50   485   28.2    1.7   27.0   28.7   26.8   21.8   18.6    2.66    3.82    3.84
 FAIR    37     0     55   31.1    2.9    2.8    72   12.2    0.4    3.8   13.46   958.11   287   30.8    1.9   23.9   29.0   24.2   22.7   20.0    1.41    1.50    1.47
 FITT   127     0     65   29.2    3.3    3.3   113    7.2    0.3    4.0    0.00   965.00   244   29.2    2.4   24.4   29.1   25.1   21.5   20.2    1.55    1.47    1.44
 FORA    38     0     69   28.7    3.1    3.1   164    7.7    0.5    4.2   12.45   967.05   257   28.5    2.2   24.1   28.6   25.8   20.8   18.9    1.37    1.44    1.41
 FREE    39     0     61   28.7    3.7    3.6   118    5.9    0.4    4.4    9.40   944.38   161   29.0    2.6   25.9   28.3   29.8   21.3   19.7    1.77    1.54    1.88
 FTCB    40     0     58   30.7    4.0    3.9   111    6.5    0.4    4.9    0.00   956.54   278   30.0    3.4   28.2   31.9   30.0   24.8   22.4    1.36    1.52    1.51
 GOOD    41     0     27   33.0    5.0    4.9   110    9.0    0.9    7.4    0.00   894.04   443   32.1    4.0   28.4   31.8   27.8   21.8   17.7    2.17    2.86    3.71
 GRA2   117     0     45   33.3    5.3    5.3    93    6.9    0.4    6.6    0.00   963.93   270   32.6    3.2   25.5   32.8   25.4   22.9   20.7    1.45    1.37    1.42
 GUTH    43     0     65   29.7    3.7    3.7   137   11.6    0.8    5.2   25.65   966.65   254   29.7    2.5   27.0   30.1   28.2   24.0   -998    1.38    1.47    -998
 HASK    44     0     66   28.9    3.5    3.5   182    4.6    0.4    4.6   36.83   984.12   230   29.0    2.3   23.1   28.6   27.2   21.8   20.2    1.52    1.46    1.39
 HECT   113     0     68   28.5    1.8    1.8   165   13.6    0.5    2.9   39.12   977.23   239   28.6    1.1   22.8   28.7   23.3   20.8   20.1    1.43    1.43    1.35
 HINT    45     0     58   30.2    3.6    3.5   121   12.4    0.4    5.2    0.00   948.75   155   29.9    2.7   28.8   33.7   30.6   25.0   21.7    1.76    1.81    1.73
 HOBA    46     0     54   30.9    6.3    6.2   121   11.2    0.8    8.2    0.00   950.65   281   30.5    4.4   24.0   31.8   26.4   22.4   19.8    1.78    1.46    1.46
 HOLD   134     0     72   29.1    1.6    1.6   132   12.4    0.5    2.7    0.00   973.00   242   28.6    1.1   22.7   27.8   24.8   21.6   20.4    1.45    1.72    1.63
 HOLL    47     0     48   32.1    6.1    5.9   102   15.2    1.7    9.7    0.00   947.41   323   31.5    4.0   28.4   31.5   29.5   24.2   21.6    1.53    1.56    1.47
 HOOK    48     0     43   30.1    2.7    2.7   123    9.7    0.6    3.9    0.00   903.54   194   30.1    1.9   27.3   32.3   27.1   24.0   20.1    2.22    1.95    3.52
 HUGO    49     0     74   29.2    2.7    2.6    92    9.1    0.4    3.5    0.00   984.94   105   29.3    1.4   23.7   27.9   25.5   22.2   -998    1.44    1.47    -998
 IDAB    50     0     76   29.0    1.6    1.6    89    5.4    0.2    2.3    0.00   992.70    61   29.4    0.3   25.6   27.7   25.1   23.3   -998    1.53    1.44    -998
 INOL   120     0     69   28.9    3.4    3.4   170    7.9    0.3    4.1   15.75   983.24   229   28.8    2.4   23.9   28.7   24.8   21.7   19.9    1.52    1.49    1.48
 JAYX    51     0   -999   27.2    1.4    1.2   207   25.7    0.5    2.9   25.91   970.92   233   27.1    0.7   21.3   28.5   23.6   20.4   -998    1.48    1.48    -998
 KENT    52     0     31   28.2    3.6    3.6    15    5.3    0.3    4.4    0.00   861.50   122   28.0    2.8   25.5   27.7   26.0   23.3   -998    2.41    3.36    -998
 KETC    53     0     57   30.4    4.4    4.3    98    9.0    0.8    6.0    0.00   965.11   244   30.2    3.1   25.9   31.8   26.4   24.0   21.6    1.55    1.50    1.64
 KIN2   133     0     57   31.0    3.1    3.1    91    9.7    0.7    4.7    0.00   967.31   263   31.1    2.1   25.3   34.0   24.5   22.9   21.0    2.05    1.49    1.36
 LAHO    55     0     49   31.4    2.4    2.4    99   10.5    0.7    3.9   11.94   959.14   273   31.3    1.3   23.4   28.7   25.2   20.5   18.6    1.42    1.86    1.46
 LANE    56     0     67   30.3    2.0    2.0    94   10.2    0.4    2.8    0.00   984.07   251   30.2    1.3   25.4   28.1   25.0   22.9   21.4    1.51    1.61    1.44
 MADI    57     0     64   30.8    1.9    1.8    86   19.7    0.6    3.2    0.00   977.33   176   30.7    1.5   25.4   30.3   26.1   -998   -998    1.69    -998    -998
 MANG    58     0     55   30.9    4.7    4.5    94   15.4    1.3    7.6    0.00   951.82   296   30.6    2.8   28.4   33.4   27.6   26.6   -998    -999    -999    -998
 MARE    59     0     68   29.1    2.4    2.3   126   11.4    0.4    3.1   26.92   967.12   237   29.2    1.4   22.0   29.8   23.6   21.2   19.6    1.45    1.51    1.44
 MAYR    61     0     60   28.9    4.0    4.0   108    6.6    0.4    4.8   68.83   941.72   292   28.6    3.2   23.9   28.0   25.8   21.7   19.5    1.47    1.55    1.50
 MCAL    62     0     68   29.1    1.1    1.0   126   14.4    0.5    2.3    0.00   979.05   226   29.0    0.2   25.8   28.7   27.7   24.1   -998    1.48    1.51    -998
 MEDF    63     0     50   30.9    2.8    2.7   125    9.9    0.4    3.6   27.69   966.43   282   30.8    2.4   23.1   30.6   23.2   -998   -998    1.45    -998    -998
 MEDI    64     0     61   29.4    4.6    4.6    97    7.0    0.7    6.0    0.00   948.95   252   29.3    3.0   26.9   28.1   30.0   24.9   -998    1.47    1.48    -998
 MIAM    65     0     70   27.4    3.2    3.2   190   11.2    0.6    4.6   22.61   976.91   232   27.6    2.2   21.4   26.8   22.4   19.4   17.9    1.52    1.44    1.37
 MINC    66     0     62   29.0    4.2    4.1   122    6.5    0.6    5.2    0.00   955.81    66   29.2    3.3   26.3   30.3   27.0   22.3   -998    1.74    1.42    -998
 MRSH   125     0     57   30.3    3.0    3.0   125    9.1    0.7    4.3   24.13   968.66   259   30.4    2.5   24.5   27.1   25.9   22.4   -998    1.40    1.44    -998
 MTHE    67     0     78   27.1    0.6    0.5    82   21.6    0.4    1.7    0.00   973.62   150   27.0    0.3   22.4   27.2   23.7   -998   -998    1.57    -998    -998
 NEWK    68     0     61   28.9    2.3    2.3   192    6.4    0.3    3.0   19.30   963.27   264   29.0    1.6   25.2   29.4   25.1   22.0   19.8    1.39    1.43    1.39
 NEWP   123     0     59   30.9    3.4    3.3   142   13.5    0.6    4.8    0.00   971.72   250   30.9    2.4   21.8   29.9   22.8   -998   -998    1.45    -998    -998
 NOWA    70     0     68   28.0    3.2    3.2   156    8.3    0.4    4.2   26.42   981.35   228   28.2    2.1   24.0   28.0   26.0   20.5   19.1    1.41    1.45    1.41
 NRMN   121     0     63   29.3    3.6    3.4   114   18.0    0.7    5.3    0.00   964.14   117   29.6    2.3   24.5   28.1   25.9   22.0   20.1    1.58    1.47    1.47
 OILT    71     0     71   29.0    2.3    2.3   131   10.4    0.5    3.2   27.69   975.41   246   28.9    1.7   24.5   29.5   26.3   23.1   20.7    1.41    1.48    1.40
 OKCE   130     0     61   29.9    2.3    2.2   132   16.4    0.6    4.0    0.00   964.17   254   29.6    1.9   27.2   31.0   29.5   24.4   21.9    1.50    1.56    1.57
 OKEM    72     0     68   28.7    2.8    2.7   166   13.1    0.4    3.9   12.95   975.08   241   28.6    1.4   24.9   27.5   26.5   22.6   -998    1.46    1.46    -998
 OKMU    73     0     70   29.0    2.8    2.8   144    8.0    0.6    4.0   48.01   981.74   272   28.7    1.9   22.8   28.7   24.0   21.0   -998    1.49    1.56    -998
 PAUL    74     0     62   30.2    3.2    3.1   102   11.7    0.8    4.8    0.00   971.36   240   30.0    2.1   24.7   29.3   25.4   22.2   20.5    1.75    1.60    1.65
 PAWN    75     0     64   29.5    2.2    2.1   146   19.8    0.4    3.4   15.24   972.55   251   29.2    1.8   25.9   28.2   25.5   22.2   20.2    1.44    1.45    1.56
 PERK    76     0     65   29.7    3.5    3.5   143    6.6    0.4    4.4   29.46   971.15   207   29.5    2.7   24.1   29.5   25.1   21.9   20.0    1.44    1.43    1.39
 PORT   118     0     68   28.8    3.2    3.2   183    6.6    0.6    4.4   33.53   983.04   216   28.8    2.6   22.7   28.4   22.3   21.5   19.9    1.41    1.42    1.47
 PRYO    77     0     67   28.8    1.4    1.4   154   13.1    0.3    2.1   27.94   982.04   231   28.8    0.5   24.2   28.4   25.2   22.4   -998    1.55    1.43    -998
 PUTN    78     0     59   29.5    3.8    3.8   113    8.3    0.6    5.3    0.00   938.43   276   29.3    2.5   24.4   27.7   29.2   23.5   20.2    1.79    1.51    2.02
 REDR    79     0     63   29.4    3.4    3.4   150    5.3    0.4    4.4   36.58   971.03   264   29.5    2.6   24.2   30.1   25.1   21.0   19.9    1.47    1.44    1.42
 RING    81     0     57   31.7    5.3    5.3    99    8.3    0.6    6.7    0.00   971.31   279   31.2    4.1   24.5   32.7   25.2   22.9   -998    1.61    1.44    -998
 SALL    82     0     63   29.2    2.1    2.0   166   12.8    0.3    2.7   50.04   987.46   252   29.0    1.7   25.7   26.6   -999   23.1   21.1    1.55    1.43    1.37
 SEIL    83     0     57   29.7    3.2    3.1   124   10.9    0.6    4.6    0.00   942.90   131   29.6    2.4   27.6   32.1   32.4   23.5   21.2    1.86    1.87    3.34
 SEMI   143     0     70   28.8    2.6    2.5   123   11.8    0.6    4.1    0.00   971.73   237   28.6    2.0   24.0   28.5   25.4   21.9   20.6    1.53    1.42    1.38
 SHAW    84     0     68   29.0    4.7    4.7   144    7.2    0.7    6.3    0.25   967.59   266   28.9    3.3   24.4   -999   24.5   22.4   20.1    1.52    1.43    -999
 SKIA    85     0     66   28.4    2.0    2.0   147   12.4    0.5    3.1   15.24   972.62   255   28.4    1.3   23.2   29.6   24.6   20.1   19.1    1.42    1.58    1.59
 SLAP    86     0     51   29.6    4.7    4.6   119    7.5    0.6    6.2    0.00   918.08   123   29.4    3.3   33.0   33.9   32.6   26.5   22.4    1.69    1.96    2.05
 SPEN    87     0     65   29.8    2.1    2.0   152   13.3    0.6    3.4    0.51   962.20   265   29.4    1.2   26.7   30.7   26.9   24.7   21.6    1.43    1.50    1.46
 STIG    88     0     68   29.1    2.8    2.8   182   10.4    0.5    4.0   63.50   985.48   249   28.9    2.2   24.8   27.1   25.3   22.4   21.0    1.46    1.48    1.46
 STIL    89     0     64   29.9    2.3    2.2   126   13.6    0.4    3.2   32.26   973.39   167   29.8    1.8   22.8   29.8   24.2   21.0   20.1    1.43    1.42    1.46
 STUA    90     0     67   29.2    1.8    1.7   143   22.2    0.4    3.2    0.00   976.02   237   29.0    1.4   25.3   28.8   27.7   22.9   20.9    1.49    -999    1.43
 SULP    91     0     66   29.6    3.1    3.1   105    8.1    0.5    4.4    0.00   968.32   231   29.5    2.0   24.5   29.8   25.5   -998   -998    1.66    -998    -998
 TAHL    92     0     71   27.7    3.0    2.9   213    9.2    0.6    4.1   29.21   972.59   244   27.7    2.1   23.8   28.5   24.9   -998   -998    1.50    -998    -998
 TALA   138     0     66   28.6    3.4    3.3   179    8.0    0.3    4.1    8.38   979.03   243   28.7    2.4   21.7   28.6   22.8   20.2   18.5    1.40    1.39    2.39
 TALI    93     0     67   29.0    1.8    1.7   157   13.3    0.3    2.5    1.78   982.32   214   28.8    0.7   25.2   28.5   25.9   23.5   -998    1.54    1.59    -998
 TIPT    94     0     50   32.0    5.6    5.5    92   10.1    0.8    7.2    0.00   959.11   272   31.7    4.3   25.5   31.7   25.9   23.7   21.9    1.44    1.34    1.38
 TISH    95     0     60   30.5    1.9    1.8   122   12.9    0.6    3.8    0.00   973.88   242   30.4    1.5   26.4   29.9   25.2   23.8   -998    1.49    1.51    -998
 TULN   137     0     59   30.0    0.8    0.7    95   17.2    0.2    1.0   12.95   980.95   292   30.0    0.2   22.2   27.4   24.3   21.1   20.0    1.45    1.33    1.35
 VALL   140     0     77   29.0    1.3    1.2    73   13.3    0.3    2.1    0.00   991.40    78   29.0    0.5   24.3   28.5   25.3   23.3   22.3    1.74    1.59    1.46
 VINI    97     0     68   27.8    3.7    3.7   187    6.3    0.5    4.9   31.24   978.11   240   27.9    2.5   22.7   26.5   23.4   20.2   18.5    1.45    1.37    1.37
 WAL2   136     0     53   31.4    5.0    4.9    99    6.5    0.6    6.8    0.00   966.60   266   31.4    3.5   23.5   35.5   25.9   22.5   20.7    1.48    1.40    1.43
 WASH    99     0     62   30.3    2.9    2.9   130    8.5    0.7    4.5    0.00   965.32   257   30.0    2.1   25.1   29.6   26.4   23.5   21.5    1.50    1.51    1.43
 WATO   100     0     55   30.3    3.7    3.7    93    7.8    0.7    5.0    0.00   946.38   273   30.2    2.4   25.2   32.5   25.5   21.4   19.5    1.59    1.53    1.46
 WAUR   101     0     53   32.1    4.1    4.1   103   11.3    0.6    5.4    0.00   970.90   254   32.1    2.7   27.4   35.1   26.8   24.2   22.0    1.48    1.50    2.03
 WEAT   102     0     54   31.0    6.0    5.9   128    9.9    1.1    8.6    0.00   943.52   233   30.4    4.8   27.5   27.4   27.1   22.9   -998    1.72    1.78    -998
 WEB3   144     0     65   29.7    2.8    2.7   185    8.2    0.5    4.1   31.75   988.66   265   29.2    1.7   22.5   26.3   22.9   21.4   20.6    1.44    1.34    1.42
 WEST   104     0     74   26.7    2.0    1.9   190   14.9    0.5    3.3   23.37   966.28   213   26.7    1.5   21.6   25.9   23.7   20.9   -998    1.43    1.46    -998
 WILB   105     0     65   29.2    2.1    2.1   146   10.9    0.2    2.6    5.59   982.66   221   29.0    1.3   23.6   27.4   24.5   22.2   20.8    2.38    1.84    1.44
 WIST   106     0     67   28.8    1.2    1.2   192   14.6    0.3    2.1   38.86   989.25   202   29.1    0.3   22.1   28.8   22.9   21.2   20.1    1.42    1.70    1.48
 WOOD   107     0     55   29.8    4.4    4.4   120    5.8    0.6    5.7    0.00   934.67   315   29.4    3.5   26.1   33.8   26.5   22.9   20.7    1.57    1.62    1.78
 WYNO   108     0     68   28.8    3.2    3.1   156    9.8    0.5    4.2   17.27   973.96   248   28.7    2.2   25.5   28.2   25.9   21.9   -998    1.41    1.54    -998
 YUKO   142     0     60   30.0    3.9    3.7   138   14.5    0.9    5.6    0.00   958.48   250   29.9    3.0   22.9   33.2   24.1   22.1   19.3    1.53    1.50    1.38
