WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,TCD,Chad,measles,1457,9,118,418,1275,226,120,8650,194,165,63,441,1594,2,10324,15801,7277,24908,3546,6868,12371,10446,24162,21952,9696,20894,19035,21182,7226,7449,3645,3623,3500,6430,6921,5160,1223,36,NA
AMR,CHL,Chile,measles,24,0,0,9,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,31,6,58,0,0,0,1,1,2098,1958,13008,45079,2623,12563,17101,4785,6752,9438,6527,3844
WPR,CHN,China,measles,3940,5941,24820,42361,52628,26883,6183,9943,38159,52461,131441,109023,99602,124219,70549,71879,58341,88962,71093,61840,53030,79621,68404,53232,76204,117851,140048,123428,85705,85049,96994,104925,198738,418159,619709,781475,892870,1010755,1122285
AMR,COL,Colombia,measles,208,0,0,1,0,1,1,6,0,0,0,0,0,0,0,0,139,3,1,44,61,67,160,410,525,9105,7976,10391,12520,12598,14801,20620,5180,5572,11849,13099,9273,19612,9222
AFR,COM,Comoros (the),measles,0,0,0,0,0,0,1,3,0,1,0,0,85,912,0,0,0,NA,NA,0,0,0,0,0,2,0,0,0,2328,170,0,0,0,0,0,0,0,0,1801
AFR,COG,Congo (the),measles,28,958,277,1359,71,124,260,315,4,1,2,84,126,146,3524,3712,2788,2152,1678,313,174,1267,3897,2381,226,693,4302,4042,3608,498,454,1420,6424,7600,18615,16642,12931,9668,11892
WPR,COK,Cook Islands,measles,0,NA,NA,NA,NA,NA,0,0,0,0,0,1,6,0,0,17,0,0,2,0,9,194,0,7,0,3,9,61,36,691,15,16,5,50,1,4,14,57,363
AMR,CRI,Costa Rica,measles,0,0,0,0,1,0,0,0,0,0,0,0,NA,1,0,1,0,0,0,23,27,26,24,35,0,273,2361,6296,76,33,358,4004,4534,1,11,39,167,170,1000
AFR,CIV,Côte d'Ivoire,measles,453,163,45,65,50,48,137,628,441,183,12,5,11,115,3466,4770,5882,5790,5729,4824,12289,9665,20858,30039,NA,7465,14765,9902,17799,18660,16864,34170,23839,8892,5946,7139,15605,14782,7633
EUR,HRV,Croatia,measles,23,7,4,206,NA,0,2,12,7,2,51,0,1,2,54,19,6,8,9,31,648,240,119,697,138,87,160,117,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,CUB,Cuba,measles,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,17,12,12,121,858,3312,2874,3315,3287,23408,18387,3924
EUR,CYP,Cyprus,measles,15,3,0,0,10,0,1,0,18,0,1,0,0,1,0,0,0,NA,0,0,1,1,55,0,0,0,20,1,4,0,0,0,1,1,3,183,27,3,0
EUR,CZE,Czech Republic,measles,207,142,7,9,222,15,22,17,0,5,2,2,7,0,17,30,4,6,9,2,19,14,10,5,9,14,416,839,2420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEAR,PRK,Democratic People's Republic of Korea (the),measles,0,0,0,0,3,0,0,0,0,0,8,3550,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFR,COD,Democratic Republic of the Congo (the),measles,69693,45107,5092,5020,33711,88381,72029,133802,5407,57,12461,55577,80123,182485,44934,21956,30466,8072,8282,12135,15271,5766,9546,5443,12573,2749,63,NA,4564,11178,13214,14866,19430,19508,11385,21057,30775,38142,32596
EUR,DNK,Denmark,measles,8,4,3,9,27,17,2,84,5,6,14,2,27,2,0,0,32,11,14,NA,NA,61,119,20,36,115,129,162,180,405,618,6268,23490,13187,21188,33242,15656,35651,28249
EMR,DJI,Djibouti,measles,28,3,8,47,NA,28,709,49,7,48,143,24,49,298,71,37,50,79,183,341,198,NA,410,8,NA,37,129,13,104,490,473,52,NA,108,1295,NA,31,4533,NA
AMR,DMA,Dominica,measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,9,10,82,45,64,188,1,2,27,0
AMR,DOM,Dominican Republic (the),measles,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,113,253,274,14,1,0,0,3,4637,7650,7512,3477,1505,692,499,501,4417,4429,2960,3671,3410,9760
AMR,ECU,Ecuador,measles,19,0,1,0,0,0,72,257,0,0,1,0,0,0,0,0,0,2,0,0,0,0,42,919,3668,3627,4356,1585,1646,3649,8004,1537,839,1183,6979,2556,1647,4678,2722
EMR,EGY,Egypt,measles,48,24,225,5432,1314,405,245,26,16,608,668,1684,953,77,80,164,653,2150,2633,1547,4868,4606,4403,1833,1444,2874,4403,1231,887,4057,3672,1805,1176,5554,4898,813,7365,1777,839
AMR,SLV,El Salvador,measles,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,38,509,0,0,0,787,405,278,1413,4775,2407,3664,12554,2315
AFR,GNQ,Equatorial Guinea,measles,0,1,1699,1250,13,321,1190,0,0,78,436,5,0,NA,38,18,24,1339,NA,NA,NA,0,1,44,270,157,297,32,32,582,14875,11865,788,464,198,NA,NA,NA,NA
AFR,ERI,Eritrea,measles,70,1199,142,198,127,45,194,48,51,82,0,55,128,19,24,376,460,204,789,320,316,777,1783,185,541,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,EST,Estonia,measles,10,1,2,4,0,2,4,7,0,0,0,1,27,2,0,0,0,0,9,12,17,18,19,17,230,312,71,129,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,SWZ,Eswatini,measles,0,0,1,0,0,0,0,0,313,26,1,0,0,0,0,350,37,49,10,0,180,609,2201,171,610,7148,2042,1467,1465,1461,1581,4261,2253,3253,4794,3267,9185,2592,NA
AFR,ETH,Ethiopia,measles,1752,1921,4579,17745,12739,5253,4347,3255,4235,1176,3511,1446,1451,357,73,228,3332,2366,1660,5329,1603,1113,1586,562,1133,1152,4815,497,1836,4169,7575,4832,3760,66544,9843,5866,10527,9784,10690
WPR,FJI,Fiji,measles,0,NA,5,NA,NA,NA,0,NA,0,1,0,0,136,NA,37,305,304,17,NA,NA,NA,828,39,414,39,425,969,NA,32,53,610,1075,385,152,827,313,902,1003,913
EUR,FIN,Finland,measles,15,11,4,2,NA,2,NA,27,5,2,5,0,0,1,0,0,0,1,NA,NA,1,0,0,6,1,0,5,8,3,1032,129,635,741,614,729,4751,5402,3813,2147
EUR,FRA,France,measles,2921,519,79,157,267,272,NA,14949,5048,1541,604,39,40,36,4448,NA,5185,NA,10000,NA,NA,80000,66000,54239,44005,77232,109548,156849,NA,NA,NA,NA,931,399,978,870,812,1132,1244
AFR,GAB,Gabon,measles,1,1075,1509,27,33,122,2,2,1,0,3,0,90,0,63,NA,110,5129,15,NA,NA,NA,70,NA,NA,958,1245,NA,738,1780,655,2074,6826,5222,7234,4324,1747,2306,1641
AFR,GMB,Gambia,measles,4,1,45,71,1,0,0,0,2,0,0,0,0,0,0,119,32,99,336,856,NA,1500,15,130,280,912,364,164,NA,NA,NA,NA,3997,1628,NA,1372,1566,262,284
EUR,GEO,Georgia,measles,2199,94,14,431,3188,7872,31,64,22,23,56,44,334,1356,6847,216,199,35,50,144,218,342,304,181,723,409,115,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,DEU,Germany,measles,543,929,326,2464,443,1771,166,1607,780,574,917,567,2307,778,121,779,4657,6024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,17,189,199,568,11759,9798,2029,5290,28745
AFR,GHA,Ghana,measles,34,19,32,23,124,319,1613,120,641,101,82,6,420,435,60,1939,12289,13476,23068,15987,23335,37261,34273,40276,34821,34641,39933,17135,32246,19997,40456,24781,11099,64517,40179,36561,79636,38476,82684
EUR,GRC,Greece,measles,2291,968,0,1,1,3,3,40,149,2,1,2,NA,122,1,NA,5,12,56,69,66,136,6082,112,163,503,3448,1371,245,534,5100,1891,1050,1484,1200,23723,3417,1389,13464
AMR,GRD,Grenada,measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,6,2,4,6,20,7,11,268,1713,9,53
AMR,GTM,Guatemala,measles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,23,204,17,97,209,8802,2413,182,400,1650,2272,3072,2762,3992,3472,2703
AFR,GIN,Guinea,measles,482,2036,316,243,175,53,6,11,45,264,89,3,4,99,10,2497,2151,7408,11294,18004,9170,10170,10292,1085,2372,5228,1617,6708,12756,4152,3353,7357,2592,2969,4396,8856,15038,11397,8552
AFR,GNB,Guinea-Bissau,measles,28,11,0,153,1,0,0,0,26,0,12,1,0,0,3526,1158,298,126,NA,472,NA,498,73,528,378,1707,842,2396,259,106,1103,174,2241,1328,355,3218,1613,2096,1332
AMR,GUY,Guyana,measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,11,917,22,15,87,294,20,41,7,464
AMR,HTI,Haiti,measles,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,992,0,3,0,1,NA,NA,NA,NA,NA,1414,580,235,3130,269,2111,1681,869,1064,2502,507
AMR,HND,Honduras,measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,13,58,95,8360,6353,1155,1437,603,6476,5028,1168,2446,5857,4188
EUR,HUN,Hungary,measles,14,36,0,0,0,1,2,5,0,1,0,0,1,2,0,0,0,20,1,1,23,24,12,4,11,33,14,16,29,NA,1103,30,17,20,98,124,2521,10573,1198
EUR,ISL,Iceland,measles,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,1,1,2,7,8,8,10,14,23,11,14,132,374,162,39,14,24,13
SEAR,IND,India,measles,19474,12032,17250,30168,26530,8285,3305,33634,31458,56188,44258,41144,64185,36711,55443,47147,40044,51780,38835,21013,33990,61004,47072,37494,50518,50391,71798,77859,89612,165771,161379,252940,155076,161216,190881,129639,146196,202054,114036
SEAR,IDN,Indonesia,measles,5300,9035,6962,15099,12943,8419,15489,21893,18869,20818,15369,19456,20422,15853,29171,24457,14492,3825,3344,4767,1034,15313,35383,37693,48147,63751,80580,90358,92105,229666,76446,395,1136,9458,18947,4670,25152,33106,28935
EMR,IRN,Iran (Islamic Republic of),measles,203,51,82,615,99,189,332,73,538,262,127,133,220,7,3,11644,9554,9582,11874,4137,2869,3901,2329,263,506,4616,5028,6034,5341,5895,11559,19383,14904,20582,32909,43623,47719,35858,31130
EMR,IRQ,Iraq,measles,489,41,37,1433,1317,669,15,15,492,30328,5494,230,474,908,9081,NA,NA,4088,726,9920,43735,708,256,7650,10657,16339,20106,11358,3045,11617,9284,7978,10122,22186,38148,37903,31564,64294,26542
EUR,IRL,Ireland,measles,76,25,NA,4,33,51,107,285,443,164,57,64,87,95,334,584,243,241,NA,147,204,185,228,235,1233,4328,179,135,556,1248,936,201,451,9903,5725,6180,1897,1075,1106
EUR,ISR,Israel,measles,3177,42,8,80,6,50,211,70,23,5,931,539,9,2,116,124,2,19,36,14,8,12,19,22,1555,141,66,991,230,29,194,438,1951,3005,137,129,7864,228,215
EUR,ITA,Italy,measles,2682,4042,NA,159,NA,NA,376,5189,372,351,1617,321,439,135,599,10982,9385,NA,1457,2908,4072,41254,32596,37131,6158,16890,65013,23458,5223,29214,92188,20627,21306,75040,77149,26371,18423,71239,27452
AMR,JAM,Jamaica,measles,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,15,0,0,0,308,3651,5726,30,37,30,67,236,1164,2815,5266,36
WPR,JPN,Japan,measles,279,187,165,35,462,229,228,434,450,741,11015,NA,520,NA,8752,8286,33812,22552,22497,NA,899,NA,1640,NA,NA,2002,NA,5452,3259,1753,3109,5872,6323,2810,12268,7281,6716,21471,13219
EMR,JOR,Jordan,measles,0,0,0,0,20,120,3,0,0,0,2,41,1,28,21,76,19,61,32,115,428,7026,448,318,516,2985,1071,143,290,1397,4810,1645,297,559,2592,183,1594,1174,552
EUR,KAZ,Kazakhstan,measles,576,2,122,526,321,73,55,127,4,0,20,13,109,16118,2204,24,18,94,245,1391,1935,120,123,284,1788,3297,647,1425,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,KEN,Kenya,measles,822,63,128,95,354,190,NA,2395,95,1218,1282,1516,1847,153,20,65,766,11304,21002,8601,9262,3339,3572,3322,4180,961,65004,59937,77072,86727,70200,49858,26199,111492,200143,285681,270767,257839,28473
WPR,KIR,Kiribati,measles,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,2,355,25,13,4,292,114,4357,8,30,1612,264,22,2,2015,1417,0,11,70,170
EMR,KWT,Kuwait,measles,42,18,8,18,55,62,27,32,13,NA,NA,NA,NA,10,23,NA,NA,NA,6,13,90,26,15,12,432,260,383,165,71,71,70,428,237,2061,608,1590,586,2595,1382
EUR,KGZ,Kyrgyzstan,measles,1007,5,0,17779,318,1,0,222,0,1,16,40,27,53,8,6,2,17,16,478,2397,998,74,17,168,3825,815,824,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WPR,LAO,Lao People's Democratic Republic (the),measles,10,3,8,56,339,71,32,113,153,78,174,1678,58,295,1491,1810,2070,94,332,2302,4613,671,917,3174,984,1083,520,1400,2168,2793,2243,2580,1367,1492,924,1076,383,NA,1380
EUR,LVA,Latvia,measles,25,0,0,0,36,0,3,1,0,0,3,0,7,2,0,NA,NA,1,0,0,3,4,3,2,10,54,248,6,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMR,LBN,Lebanon,measles,944,126,44,39,112,1761,9,9,12,22,24,373,956,618,213,526,36,8,5,8,966,134,2,3,51,396,13,NA,NA,NA,NA,NA,NA,NA,NA,266,NA,3,NA
AFR,LSO,Lesotho,measles,7,0,0,0,0,516,179,172,2488,0,0,2,1,NA,31,1,0,217,660,944,NA,0,NA,304,573,235,1816,2351,2195,1378,1797,2448,4376,7362,5821,5239,6941,7624,7935
AFR,LBR,Liberia,measles,3781,960,789,1060,34,0,43,279,2200,6,1,1,20,8,4,142,131,1379,5977,1679,1436,2961,1938,56,571,6398,5776,NA,NA,1866,2556,2178,836,2686,6151,4835,6873,7810,6567
EMR,LBY,Libya,measles,1082,8,32,82,372,NA,320,NA,NA,329,8,59,1,292,2771,NA,3890,633,NA,NA,50,26,NA,NA,1127,733,3691,1695,931,207,316,401,851,4193,2526,996,928,1570,1547
EUR,LTU,Lithuania,measles,30,2,22,50,11,35,0,7,2,0,1,0,1,1,1,1,103,7,19,23,18,30,35,188,286,249,200,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,LUX,Luxembourg,measles,4,4,0,0,NA,0,2,6,0,0,1,0,8,NA,0,1,NA,NA,0,NA,NA,1,25,1,1,4,48,1,16,12,18,153,27,62,35,21,243,214,63
AFR,MDG,Madagascar,measles,21420,11,5,3,3,6,2,0,1,0,3,0,2,NA,35558,62233,10795,9357,35256,35196,15510,13865,5961,11731,14164,6060,1846,5824,14459,29654,17069,10841,21546,69884,66894,101925,84494,140653,119679
AFR,MWI,Malawi,measles,1,4,0,0,3,1,11,26,118712,21,20,143,1,184,1116,167,92,150,304,152,3591,10845,9120,4218,2164,3614,32177,5730,NA,93100,81100,114061,105682,126581,80766,150248,104921,84610,162686
WPR,MYS,Malaysia,measles,1981,1709,1569,1318,221,195,1868,1569,73,153,334,394,564,1407,5729,632,408,2198,6187,2576,483,627,460,654,346,542,363,275,563,1027,2304,5429,4699,5163,8147,9313,9268,5690,8727
SEAR,MDV,Maldives,measles,1,1,0,0,0,0,0,0,0,6,0,20,47,1395,37,75,926,0,20,NA,0,NA,0,3070,706,61,0,0,0,0,0,0,0,2029,0,0,0,1479,NA
AFR,MLI,Mali,measles,499,26,107,215,290,221,341,24,1719,2939,98,2,128,33,172,232,717,4464,1578,2506,10240,3531,10995,3306,3420,10595,7830,13473,1388,3605,4478,4352,4669,29732,4494,8759,16432,8413,10007
EUR,MLT,Malta,measles,6,0,0,2,0,NA,NA,3,0,1,1,2,1,6,4,4,7,2,2,1,3,5,16,27,8,3,43,8,6,17,17,46,1844,175,58,620,1530,121,14
WPR,MHL,Marshall Islands (the),measles,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,1127,0,0,0,0,0,0,0,NA,0,9,10,19,14,13,NA,0,1,4,0,0,0,0,0
AFR,MRT,Mauritania,measles,77,63,13,1,14,62,35,234,1292,322,4,11,22,127,5039,3611,883,1398,NA,5263,1303,499,NA,195,2668,5754,4990,4601,1379,5032,434,2323,5318,15123,11203,15710,6743,8658,11441
AFR,MUS,Mauritius,measles,NA,0,0,NA,0,0,0,2,12,15,12,13,3,7,28,777,NA,0,0,0,NA,0,0,6,10,88,7,0,1,0,2,0,5,2,6,0,4,0,35
AMR,MEX,Mexico,measles,5,0,0,0,3,0,0,3,0,0,0,0,23,6,64,44,0,3,30,0,0,0,2,244,128,172,533,5077,68782,20381,3915,2776,9824,23826,5158,3368,6364,11136,29730
WPR,FSM,Micronesia (Federated States of),measles,0,0,0,0,140,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,930,0,41,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
EUR,MCO,Monaco,measles,0,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,160,NA,0,0,0,0,0,0,0,0,0,12,NA
WPR,MNG,Mongolia,measles,1,9,30273,20359,0,0,0,0,7,8,31,12,26,0,0,18,1205,10677,925,10,8,4,128,555,177,71,1069,656,296,2176,3044,378,133,525,29738,1935,209,695,5338
EUR,MNE,Montenegro,measles,200,0,0,NA,NA,0,0,5,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMR,MAR,Morocco,measles,483,NA,NA,17,10,92,668,982,633,834,1455,2248,1217,NA,6399,10841,6000,2724,7368,10853,7863,2512,1324,2380,3512,8431,6008,2125,1577,1689,2306,26621,15333,4216,11484,80806,53160,109486,86919
AFR,MOZ,Mozambique,measles,16,122,NA,79,9,8,145,177,2321,60,4,267,183,12598,9396,28898,7155,7085,7375,3936,15693,15324,9251,4166,9618,5799,3092,5059,18082,22832,12142,12749,16109,16507,12508,11734,11909,16358,30070
SEAR,MMR,Myanmar,measles,1389,1293,266,6,122,1010,2175,2046,190,329,333,1088,760,314,1329,830,736,2519,845,791,1465,1035,1684,1170,1855,2682,1794,4437,7900,3883,4323,5540,3830,16386,16580,18919,25102,26821,21457
AFR,NAM,Namibia,measles,9,16,40,212,477,1028,86,79,3138,4076,0,21,3,4,4,262,1278,416,469,296,495,5359,4901,1723,133,1328,6874,NA,NA,NA,4482,16874,NA,NA,NA,NA,NA,NA,NA
WPR,NRU,Nauru,measles,NA,NA,0,NA,NA,NA,11,0,NA,0,0,0,0,0,0,NA,0,0,0,1,NA,58,NA,0,NA,NA,NA,NA,300,0,NA,0,1,NA,NA,NA,1,0,10
SEAR,NPL,Nepal,measles,260,99,1269,1599,1279,1861,3362,2359,190,189,2089,1415,2838,5023,12074,13344,6749,10849,9397,NA,5771,12677,7213,4810,1401,59,136,93,182,171,193,190,68,952,2042,1117,1268,254,561
EUR,NLD,Netherlands (the),measles,24,16,6,7,140,2632,10,51,15,15,109,10,1,4,11,4,3,NA,1019,2368,9,21,57,184,302,468,472,59,16,124,1519,227,90,24,82,480,95,77,178
WPR,NZL,New Zealand,measles,30,15,103,10,280,8,68,597,43,198,NA,25,20,20,33,66,21,65,65,106,164,2041,NA,NA,33,69,NA,9239,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMR,NIC,Nicaragua,measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,339,2332,0,0,0,314,792,2550,956,153,112,226,224,3784
AFR,NER,Niger (the),measles,5034,1171,776,7693,1142,1224,272,771,372,801,1317,282,59,2183,63057,54190,31584,61208,21319,36156,11404,32649,68921,67986,48685,36557,31341,90071,20463,22932,16864,14290,17626,64689,42199,30288,39815,36139,36811
AFR,NGA,Nigeria,measles,7063,11190,17136,12423,6855,52852,6447,18843,8491,1272,9960,2613,704,110927,31521,141258,42007,168107,212183,217151,143098,21385,88675,12393,106081,54734,85965,44026,115682,33678,75908,77566,115743,161768,182591,136778,139785,129671,162106
WPR,NIU,Niue,measles,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,121,NA,1,1,0,7,21,0,0,0,2,22
EUR,MKD,North Macedonia,measles,64,19,0,1,116,4,7,701,217,5,27,1,3,5,9,18,19,27,36,53,NA,364,1056,217,229,2495,180,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,NOR,Norway,measles,12,1,0,14,3,8,4,39,3,2,4,NA,0,0,7,8,5,4,0,NA,NA,11,23,18,6,7,73,17,95,13,133,563,1219,1312,1775,6181,10974,4586,1322
EMR,OMN,Oman,measles,0,9,111,0,NA,0,13,5,3,19,18,24,13,25,18,1,5,15,15,9,5,12,46,68,181,3108,1834,220,1262,4255,6052,3804,2001,4161,9652,9151,16645,40679,10630
EMR,PAK,Pakistan,measles,33007,9175,2703,386,1370,8749,8046,4386,4321,863,1129,2801,7641,2981,4248,4740,3903,3849,2064,2940,2333,1848,1090,1720,1421,1967,2967,617,21785,2349,55543,45996,42304,26686,17322,21004,19890,29010,28573
WPR,PLW,Palau,measles,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,1,0,0,0,0,93,0,0,0,1,0,0,0,0,0,0,0,0,0
AMR,PAN,Panama,measles,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,90,845,2430,1891,301,378,1885,4199,4295,358,595,4014,4332,2096
WPR,PNG,Papua New Guinea,measles,19,7,0,38,2299,12,0,0,0,0,0,0,1,1222,1385,3863,17620,4023,7135,6304,1148,678,2313,3730,6821,8212,6634,2740,4575,9799,6543,10206,19024,5680,9874,10023,12771,16519,12125
AMR,PRY,Paraguay,measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,143,13,73,122,2066,864,526,1396,386,755,1742,610,666,979,1259,531,428,745
AMR,PER,Peru,measles,42,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12,10,95,105,353,670,1730,22605,1014,737,1145,5785,6240,6099,9393,13039,7619,12708,10071,19246
WPR,PHL,Philippines (the),measles,20827,2428,716,619,58848,2920,1536,6538,6368,1469,341,530,9,118,3025,10511,7003,7360,7120,2981,1984,9218,NA,3913,3006,7541,39304,29037,42938,68986,70801,81896,59375,62959,75290,43684,35989,27031,26765
EUR,POL,Poland,measles,359,63,123,NA,NA,84,71,NA,13,115,NA,40,120,13,11,48,34,133,77,99,2255,338,639,752,864,1410,3695,2419,56471,7225,1005,1286,6806,35680,54403,11271,7620,35283,24882
EUR,PRT,Portugal,measles,162,34,0,8,NA,1,23,2,5,3,1,0,0,7,5,8,8,NA,45,50,96,129,112,192,3230,881,208,275,407,11791,2285,813,NA,NA,NA,NA,NA,NA,NA
EMR,QAT,Qatar,measles,2,9,30,18,46,73,160,101,295,112,NA,361,144,74,29,24,34,23,46,NA,116,439,38,0,31,86,68,563,314,1083,382,409,2095,1410,886,816,506,1489,392
WPR,KOR,Republic of Korea (the),measles,15,5,18,7,442,107,2,42,114,17,2,194,28,7,11,33,62,23060,32647,NA,4,2,71,71,7883,NA,NA,NA,3415,2394,1579,1880,1818,1283,2246,695,6776,2307,5097
EUR,MDA,Republic of Moldova (the),measles,340,0,0,0,2,27,11,0,0,0,0,10,34,6,4,87,4929,457,687,245,673,364,344,1174,3951,866,322,621,3242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUR,ROU,Romania,measles,6407,9076,2435,4,59,1159,7450,4189,193,8,12,353,3196,5043,117,9,14,10,35,240,9547,23579,906,2188,6228,28321,6061,1773,4691,3870,1810,11833,34037,5007,2108,4723,61682,21584,10476
EUR,RUS,Russian Federation (the),measles,2539,721,178,843,4711,2339,2123,629,129,101,27,173,1147,454,2444,3291,580,2072,4800,7428,6215,2874,7120,6630,28672,74463,18570,20449,18370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,RWA,Rwanda,measles,229,145,95,1,10,17,75,31,121,5,6,26,494,129,386,1064,2738,896,2095,4359,NA,787,3988,28874,5999,9861,17429,5820,8970,5429,4364,12387,42749,16760,17269,20001,36792,79384,80402
AMR,KNA,Saint Kitts and Nevis,measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,12,12,21,22,27,2,556,138,52,305
AMR,LCA,Saint Lucia,measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,30,10,4,4,32,9,13,71,2039,134,35
AMR,VCT,Saint Vincent and the Grenadines,measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,2,5,15,63,757,19,257
WPR,WSM,Samoa,measles,0,3,NA,NA,NA,NA,1,0,8,0,NA,NA,0,0,0,0,NA,NA,NA,NA,8,0,87,0,0,7,4,0,0,1,0,0,1,1095,0,7,28,72,376
EUR,SMR,San Marino,measles,0,0,0,NA,NA,NA,1,0,0,0,NA,0,0,0,0,3,NA,NA,1,0,NA,22,NA,NA,NA,6,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFR,STP,Sao Tome and Principe,measles,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,23,319,88,0,0,10,NA,118,0,69,62,576,216,3,194,519
EMR,SAU,Saudi Arabia,measles,1164,459,125,219,154,1164,294,362,334,82,158,4648,807,373,1880,1208,311,155,NA,2815,5519,3978,2407,2574,1253,3182,11299,6368,5439,3588,8225,29220,22830,18393,30457,44633,33294,35790,46115
AFR,SEN,Senegal,measles,12,11,162,58,32,17,46,18,428,999,6,11,3,0,31,1519,18184,24789,5839,3668,6594,6594,8069,NA,5944,14693,15367,11427,5004,10940,1596,3453,6831,NA,NA,26481,32380,34516,29144
EUR,SRB,Serbia,measles,5076,721,11,383,37,1,0,370,20,1,2,201,2,2,11,15,63,35,38,288,922,4692,458,524,800,16777,2108,991,4978,16149,6629,8639,14148,25325,20233,12967,13826,20878,37441
AFR,SYC,Seychelles,measles,NA,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,NA,2,626,3,2,0,0,0,0,6,13,5,0,2,4,10,19,267,347,4,3
AFR,SLE,Sierra Leone,measles,344,1873,920,607,1006,15,678,1865,1089,31,44,0,33,29,7,586,568,649,3575,NA,NA,361,NA,344,114,2288,914,284,830,625,207,1000,164,3351,4016,4327,4102,3408,3625
WPR,SGP,Singapore,measles,38,70,NA,NA,NA,138,42,148,50,16,18,15,23,33,96,33,211,408,141,65,114,1413,NA,185,159,0,606,216,143,146,192,123,218,136,2417,677,1965,771,NA
EUR,SVK,Slovakia,measles,565,7,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,530,620,0,2,29,551,415,211,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
