name,link,date,location
,/wiki/Mount_Hope_Bay_raids,"May 25–30, 1778",Rhode Island
,/wiki/Battle_of_Cobleskill,"May 30, 1778",New York
,/wiki/Battle_of_Monmouth,"June 28, 1778",New Jersey
,/wiki/Battle_of_Alligator_Bridge,"June 30, 1778",East Florida
,/wiki/Battle_of_Wyoming,"July 3, 1778",Pennsylvania
,/wiki/Battle_of_Ushant_(1778),"July 27, 1778",Bay of Biscay
,/wiki/Battle_of_Rhode_Island,"August 29, 1778",Rhode Island
,/wiki/Grey%27s_raid,"September 5–17, 1778",Massachusetts
,/wiki/Invasion_of_Dominica_(1778),"September 7, 1778",Dominica
,/wiki/Siege_of_Boonesborough,"September 7, 1778",Virginia
,/wiki/Attack_on_German_Flatts_(1778),"September 17, 1778",New York
,/wiki/Baylor_Massacre,"September 27, 1778",New Jersey
,/wiki/Battle_of_Edgar%27s_Lane,"September 30, 1778
","New York
"
,/wiki/Raid_on_Unadilla_and_Onaquaga,"October 2–16, 1778",Indian Reserve
,/wiki/Battle_of_Chestnut_Neck,"October 6, 1778",New Jersey
,/wiki/Affair_at_Little_Egg_Harbor,"October 16, 1778",New Jersey
,/wiki/Carleton%27s_Raid_(1778),"October 24-November 14, 1778",Vermont
,/wiki/Cherry_Valley_Massacre,"November 11, 1778",New York
,/wiki/Action_of_12_December_1779,"December 15, 1778",Honduras
,/wiki/Capture_of_St._Lucia,"December 18–28, 1778",St. Lucia
,/wiki/Capture_of_Savannah,"December 29, 1778",Georgia
,/wiki/Battle_of_Beaufort,"February 3, 1779",South Carolina
,/wiki/Battle_of_Kettle_Creek,"February 14, 1779",Georgia
,/wiki/Siege_of_Fort_Vincennes,"February 23–25, 1779",Indiana
,/wiki/Battle_of_Brier_Creek,"March 3, 1779",Georgia
,/wiki/Battle_of_Chillicothe,May 1779,Quebec
,/wiki/Chesapeake_raid,"May 10–24, 1779",Virginia
,/wiki/Capture_of_Saint_Vincent,"June 16–18, 1779",St. Vincent
,/wiki/Battle_of_Stono_Ferry,"June 20, 1779",South Carolina
,/wiki/Great_Siege_of_Gibraltar,"June 24, 1779 – February 7, 1783",Gibraltar
,/wiki/Capture_of_Grenada,"July 2, 1779",Grenada
,/wiki/Tryon%27s_raid,"July 5–14, 1779",Connecticut
,/wiki/Battle_of_Grenada,"July 6, 1779",Grenada
,/wiki/Battle_of_Stony_Point,"July 16, 1779",New York
,/wiki/Battle_of_Minisink,"July 22, 1779",New York
,/wiki/Penobscot_Expedition,"July 24-August 29, 1779",Massachusetts
,/wiki/Battle_of_Paulus_Hook,"August 19, 1779",New Jersey
,/wiki/Battle_of_Newtown,"August 29, 1779",Indian Reserve
,/wiki/Capture_of_Fort_Bute,"September 7, 1779",West Florida
,/wiki/Battle_of_Lake_Pontchartrain,"September 10, 1779",West Florida
,/wiki/Boyd_and_Parker_ambush,"September 13, 1779",Indian Reserve
,/wiki/Action_of_14_September_1779,"September 14, 1779",Azores
,/wiki/Siege_of_Savannah,"September 16-October 18, 1779",Georgia
,/wiki/Battle_of_Baton_Rouge_(1779),"September 20–21, 1779",West Florida
,/wiki/Battle_of_Flamborough_Head,"September 23, 1779",Great Britain
,/wiki/Action_of_6_October_1779,"October 6, 1779
","France
"
,/wiki/Battle_of_San_Fernando_de_Omoa,"October 16-November 29, 1779",Guatemala
,/wiki/Action_of_11_November_1779,"November 11, 1779",Portugal
,/wiki/Action_of_20_November_1779,"November 20, 1779
","Portugal
"
,/wiki/Battle_of_Martinique_(1779),"December 18, 1779",Martinique
,/wiki/Action_of_8_January_1780,"January 8, 1780",Spain
,/wiki/Battle_of_Cape_St._Vincent_(1780),"January 16, 1780",Portugal
,/wiki/Battle_of_Young%27s_House,"February 3, 1780",New York
,/wiki/Battle_of_Van_Creek,"February 11, 1780
","Georgia
"
,/wiki/San_Juan_Expedition_(1780),"March–November, 1780",Guatemala
,/wiki/Battle_of_Fort_Charlotte,"March 2–14, 1780",West Florida
,/wiki/Siege_of_Charleston,"March 29-May 12, 1780",South Carolina
,/wiki/Battle_of_Monck%27s_Corner,"April 14, 1780",South Carolina
,/wiki/Battle_of_Martinique_(1780),"April 17, 1780",Martinique
,/wiki/Battle_of_Lenud%27s_Ferry,"May 6, 1780",South Carolina
,/wiki/Bird%27s_invasion_of_Kentucky,"May 25-August 4, 1780",Virginia
,/wiki/Battle_of_St._Louis,"May 25, 1780",Louisiana (present-day Missouri)
,/wiki/Battle_of_Waxhaws,"May 29, 1780",South Carolina
,/wiki/Battle_of_Connecticut_Farms,"June 7, 1780",New Jersey
,/wiki/Battle_of_Mobley%27s_Meeting_House,"June 10–12, 1780",South Carolina
,/wiki/Battle_of_Ramsour%27s_Mill,"June 20, 1780",North Carolina
,/wiki/Battle_of_Springfield_(1780),"June 23, 1780",New Jersey
,/wiki/Huck%27s_Defeat,"July 12, 1780",South Carolina
,/wiki/Battle_of_Bull%27s_Ferry,"July 20–21, 1780",New Jersey
,/wiki/Battle_of_Colson%27s_Mill,"July 21, 1780",North Carolina
,/wiki/Battle_of_Rocky_Mount,"August 1, 1780",South Carolina
,/wiki/Battle_of_Hanging_Rock,"August 6, 1780",South Carolina
,/wiki/Battle_of_Pekowee,"August 8, 1780",Quebec
,/wiki/Action_of_9_August_1780,"August 9, 1780",Atlantic
,/wiki/Action_of_10_August_1780,"August 10, 1780
","France
"
,/wiki/Action_of_13_August_1780,"August 13, 1780
","Ireland
"
,/wiki/Battle_of_Camden,"August 16, 1780",South Carolina
,/wiki/Battle_of_Fishing_Creek,"August 18, 1780",South Carolina
,/wiki/Battle_of_Musgrove_Mill,"August 18, 1780",South Carolina
,/wiki/Battle_of_Black_Mingo,"August 28, 1780",South Carolina
,/wiki/Battle_of_Graham%27s_Fort,"September 1, 1780",North Carolina
,/wiki/Battle_of_Wahab%27s_Plantation,"September 20, 1780",South Carolina
,/wiki/Battle_of_Charlotte,"September 26, 1780",North Carolina
,/wiki/Action_of_30_September_1780,"September 30, 1780
","Bermuda
"
,/wiki/Battle_of_McIntyre_Farm,"October 3, 1780",North Carolina
,/wiki/Battle_of_Kings_Mountain,"October 7, 1780",South Carolina
,/wiki/Battle_of_Shallow_Ford,"October 14, 1780
","North Carolina
"
,/wiki/Royalton_Raid,"October 16, 1780",Vermont
,/wiki/Battle_of_Klock%27s_Field,"October 19, 1780",New York
,/wiki/Battle_of_Tearcoat_Swamp,"October 25, 1780
","South Carolina
"
,/wiki/La_Balme%27s_Defeat,"November 5, 1780",Quebec
,/wiki/Battle_of_Fishdam_Ford,"November 9, 1780",South Carolina
,/wiki/Battle_of_Blackstock%27s_Farm,"November 20, 1780",South Carolina
,/wiki/Battle_of_Fort_St._George,"November 23, 1780",New York
,/wiki/Battle_of_Hammond%27s_Store,"December 30, 1780",South Carolina
,/wiki/Battle_of_Jersey,"January 6, 1781",Jersey
,/wiki/Battle_of_Mobile_(1781),"January 7, 1781",West Florida
,/wiki/Battle_of_Cowpens,"January 17, 1781",South Carolina
,/wiki/Battle_of_Cowan%27s_Ford,"February 1, 1781",North Carolina
,/wiki/Capture_of_Sint_Eustatius,"February 3, 1781",Sint Eustatius
,/wiki/Battle_of_Summerfield,"February 12, 1781
","North Carolina
"
,/wiki/Battle_of_Harts_Mill,"February 17, 1781",North Carolina
,/wiki/Battle_of_Haw_River,"February 24, 1781",North Carolina
,/wiki/Battle_of_Wetzell%27s_Mill,"March 6, 1781",North Carolina
,/wiki/Siege_of_Pensacola,"March 9-May 8, 1781",West Florida
,/wiki/Battle_of_Guilford_Court_House,"March 15, 1781",North Carolina
,/wiki/Battle_of_Cape_Henry,"March 16, 1781",Virginia
,/w/index.php?title=Battle_of_Beattie%27s_Mill&action=edit&redlink=1,"March 21, 1781",South Carolina
,/wiki/Siege_of_Fort_Watson,"April 15–23, 1781",South Carolina
,/wiki/Battle_of_Porto_Praya,"April 15, 1781",Cape Verde
,/wiki/Battle_of_Blandford,"April 25, 1781",Virginia
,/wiki/Battle_of_Hobkirk%27s_Hill,"April 25, 1781",South Carolina
,/wiki/Battle_of_Fort_Royal,"April 29, 1781",Martinique
,/wiki/Action_of_1_May_1781,"May 1, 1781",France
,/wiki/Battle_of_Fort_Motte,"May 8–12, 1781",South Carolina
,/wiki/Battle_of_Pine%27s_Bridge,"May 14, 1781
","New York
"
,/wiki/Battle_of_Portevent%27s_Mill,"May 16, 1781
","North Carolina
"
,/wiki/Siege_of_Augusta,"May 22-June 6, 1781",Georgia
,/wiki/Siege_of_Ninety-Six,"May 22-June 18, 1781",South Carolina
,/wiki/Invasion_of_Tobago,"May 24-June 2, 1781",Tobago
,/wiki/Action_of_30_May_1781,"May 30, 1781",Barbary Coast
,/wiki/Battle_of_Cox%27s_Mill,"June 8, 1781",North Carolina
,/wiki/Battle_of_Spencer%27s_Ordinary,"June 26, 1781",Virginia
,/wiki/Francisco%27s_Fight,July 1781,Virginia
,/wiki/Battle_of_Green_Spring,"July 6, 1781",Virginia
,/wiki/Naval_battle_of_Louisbourg,"July 21, 1781",Nova Scotia
,/wiki/Battle_of_Dogger_Bank_(1781),"August 5, 1781",North Sea
